data,num_file,L0,L2,Epsilon,MF_iters,MF_nnz,MF_OG,SB_iters,SB_nnz,SB_OG,RL_iters_p10,RL_rewards_p10,RL_nnz_p10,RL_OG_p10,RL_iters_p50,RL_rewards_p50,RL_nnz_p50,RL_OG_p50,RL_iters_p100,RL_rewards_p100,RL_nnz_p100,RL_OG_p100,RL_iters_mixed,RL_rewards_mixed,RL_nnz_mixed,RL_OG_mixed
x_gen_syn_n3_p10_corr0.5_snr5_b0_seed2024_21.csv,0,0.01,0.0,0.05,2,1,0.0,2,1,0.0,2,1,1,0.0,2,2,1,0.0,2,2,1,0.0,2,2,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5_b0_seed2024_0.csv,1,0.01,0.0,0.05,56,1,0.0,21,1,0.0,4,7,1,-0.7467062084492104,4,5,1,0.0,5,5,1,-0.7467062084492104,4,5,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5_b0_seed2024_8.csv,2,0.01,0.0,0.05,10,1,0.0,12,1,3.5095688329615364e-06,7,9,1,-0.8116510110092514,13,5,1,3.5095688329615364e-06,23,4,1,-0.06725408558596688,6,8,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5_b0_seed2024_3.csv,3,0.01,0.0,0.05,110,1,0.0,35,1,0.0,6,8,1,0.0,14,0,1,0.0,13,1,1,0.0,6,8,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5_b0_seed2024_14.csv,4,0.01,0.0,0.05,70,1,0.0,6,1,0.0,6,8,1,0.0,14,0,1,0.0,14,2,1,-0.8021453324411577,6,8,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5_b0_seed2024_13.csv,5,0.01,0.0,0.05,91,1,0.0,13,1,0.0,6,10,1,-0.8106644698640633,18,-3,1,0.0,13,5,1,-0.8106644698640633,7,10,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5_b0_seed2024_15.csv,6,0.01,0.0,0.05,112,1,0.0,45,1,0.0,7,12,1,-0.7921751213282019,15,1,1,0.0,20,0,1,-0.7921751213282019,8,10,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5_b0_seed2024_18.csv,7,0.01,0.0,0.05,22,1,0.0,10,1,0.0,10,14,1,-0.816782143996551,21,1,1,0.0,34,-6,1,-0.816782143996551,8,12,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5_b0_seed2024_7.csv,8,0.01,0.0,0.05,92,1,0.0,17,1,0.0,7,12,1,-0.8032412964972961,26,-10,1,0.0,19,5,1,-0.803337907160797,8,10,1,0.0
x_gen_syn_n3_p10_corr0.5_snr5_b0_seed2024_5.csv,9,0.01,0.0,0.05,38,1,0.0,16,1,0.0,7,10,1,0.0,12,4,1,0.0,21,-4,1,0.0,7,11,1,0.0
